TNGA1 SC to FS32		
at	cue	for
0	Start. Proceed west on Hwy 28 from South Carolina border in the middle of a bridge over the Chattooga River.	2.2
2.2	Intersection with Warwoman Road. Bear left on Warwoman Road. Proceed west.	0.3
2.5	Intersection with FS86 (Overflow Creek Road). Turn right and head north on FS86.	3.25
5.75	Intersection with FS86C (Tottery Pole Road) at Owl Gap. Stay straight, proceed west on FS86C. Avoid FS86 to right.	4.04
9.79	Intersection with FS7 (Hale Ridge Road). Turn right and proceed north on FS7.	1.03
10.82	Intersection with FS7A. FS7A is unmarked at this intersection though, just look for a road closed barrier about 50 yards off of FS7 to the left. Turn left onto FS7A, go around the barrier and proceed west.	0.51
11.33	Intersection with FS156A. FS156A is unmarked at this intersection. Avoid roadbed to right. Stay straight on FS156A and continue west.	2.19
13.52	Intersection with FS156 (Sarahs Creek Road). Turn right on FS156 and proceed north.	0.65
14.17	Intersection with FS155 (Walnut Creek Road). Turn left onto FS155 and proceed southwest.	5.4
19.57	FS155A intersects from the left. Stay straight on FS155.	1.29
20.86	Proceed through gate. FS155 becomes less maintained. Look for Bartram Trail ahead on right.	0.04
20.9	Continue to end of FS road, Darnell Creek Horse Trail will intersect at Right	0.24
21.14	At T intersection, continue left on Darnell Creek Horse Trail.	2.4
23.54	Follow the Darnell Creek Horse trail until it intersects with Old Darnell Creek Road. Proceed Left on road.	1.52
25.06	Darnell Creek Rd continues to Kelly's Creek Rd. Turn left	0.54
25.6	Intersection with Hwy 441. Go left on 441 and then right on School Farm Road. Follow School Farm Road around behind Nacoochee School.	1
26.6	Go left on unpaved Neville Road.	0.87
27.47	Neville road continues to right. Stay straight on Ov Justus Road.	1.17
28.64	Intersection with Betty Creek Road. Go left and proceed west on Betty Creek Road.	1.36
30	Intersection with FS32 (Patterson Gap Road). Turn left and proceed west on FS32.	5.44
35.44	Intersection with FS32C. Finish TNGA 1.	0
		
TNGA 2 FS32 to Hwy197		
at	cue	for
0	Start. Intersection of FS32 and FS32C. If you just came down FS32, turn right. Proceed west on FS32C.	0.3
1.26	Road intersects from left. Stay straight on FS32C.	3.25
1.51	4 way intersection. Stay straight/left on FS32C.	4.04
2.19	Creek has become diverted. Roadbed has become creekbed. Keep going.	1.03
2.25	Trail enters camping area with creek crossings. Turn hard left and continue toward FS54.	0.51
2.26	Intersection with FS54. Bear left and proceed south on FS54.	2.19
3.9	Intersection with FS54A. Continue south on FS54.	0.65
3.91	FS54 becomes Coleman River Road, continue south on Coleman River Road.	5.4
6.12	Intersection with Persimmon Road. Turn right, proceed west on Persimmon Road.	1.29
6.25	Intersection with Tallulah River Road. Turn right and proceed west on Tallulah River Road.	0.04
6.28	Tallulah River Road becomes unpaved FS70. Continue on FS70.	0.24
10.52	Tallulah River Ford, intersection with Charlies Creek Road. Turn left, cross river, proceed west on Charlies Creek Road. Cross several creeks and avoid intersecting roads from left and right.	2.4
13.72	Blue Ridge Gap. AT crosses here. Continue west on Charlies Creek Road.	1.52
14.34	Intersection with paved Upper Hightower Road. Proceed straight/left on Upper Hightower Road.	0.54
16.67	Intersection with Barefoot Road. Upper Hightower Road curves away to right. Stay straight and proceed on Barefoot Road which will soon become unpaved.	1
17.72	Barefoot Road becomes paved again. Continue on paved Barefoot Road.	0.87
18.42	Intersection with Hwy 76. Turn left and proceed east on Hwy 76.	1.17
20.89	Intersection with FS164 at mile marker 1, near the end of a guardrail. FS164 is not marked at this intersection. Turn hard right, downhill and proceed around gate into FS164.	1.36
23.67	FS154 becomes Dick Creek Rd. Proceed straight to Hwy 197	5.44
24.68	Hwy 197 Finish TNGA 2.	0
		
TGNA 3 Hwy197 to Robertstown		
at	cue	for
0	Start. Intersection of FS164 and Hwy 197. If you just came down FS164, turn right. Proceed south on Hwy 197.	2.84
2.84	Intersection of Hwy 197 and FS26-1 (Wildcat Creek Road). Turn right and proceed west on FS26-1. Avoid roads and trails to left and right.	8.31
11.15	Intersection with FS675. FS675 continues straight. FS26-1 continues to left. Turn left and proceed on FS26-1.	0.41
11.56	Addis Gap. Swallow Creek WMA sign. Intersection with AT and FS26-2. FS26-2 is unmarked at this intersection. Proceed west, downhill on FS26-2.	0.92
12.48	Go around gate, bear right to stay on FS26-2. Continue on FS26-2, avoiding roads and trails to either side.	2.39
14.87	FS26-2 becomes paved Mill Creek Road. Continue on Mill Creek Road.	1.2
16.07	Intersection with Hwy 75. Turn left and proceed south on Hwy 75.	0.74
16.81	Intersection with FS698. Bear left and proceed on FS698.	4.27
21.08	Intersection with FS698A. Stay straight on FS698.	1.03
22.11	Intersection with FS305. Improperly marked at this intersection. Continue straight on FS698.	4.96
27.07	Tray Gap. Intersection with AT and FS79. Turn left and proceed east on FS79.	2.61
29.68	Intersection with FS690 (Hickory Nut Approach Trail). FS79 bends sharply away to the left. Bear right and proceed south on FS690.	0.6
30.28	End of FS690 (Hickory Nut Approach Trail). Go around dirt pile and proceed south, descending the Hickory Nut Trail. USE CAUTION. This trail very rough with large rocks hiding behind humps and obscured by deep leaves in the fall/winter and ferns in the spring/summer.	2.52
32.8	Intersection. Turn right to stay on the Hickory Nut Trail. Continue to use caution. This part of the trail is cleaner but is still pretty rough.	1.17
33.97	Intersection with paved South Unicoi Campground Road. Turn left and proceed on South Unicoi Campground Road.	1.03
35	Intersection with Hwy 356. Turn right and proceed west on Hwy 356.	1.76
36.76	Intersection Hwy 75. Finish TNGA 3.	0
		
TNGA 4		
at	cue	for
0	Start. Intersection of Hwy 356 and Hwy 75. If you just came down Hwy 356, turn right. Proceed northwest on Hwy 75.	0.35
0.35	Intersection with Hwy 75 Alt. Turn left and proceed west on Hwy 75 Alt.	2.29
2.64	Intersection with Hwy 348. Turn right and proceed west on Hwy 348.	7.05
9.69	Hogpen Gap. AT Intersection. Continue northwest on Hwy 348.	4.03
13.72	Intersection with Hatchet Creek Road. Finish TNGA 4.	0
		
TNGA 5		
at	cue	for
0	Start. Intersection of Hwy 348 and Hatchet Creek Road. If you just came down Hwy 348, turn left. Proceed west on Hatchet Creek Road.	0.55
0.55	Hatchet Creek Road becomes unpaved. Continue on unpaved Hatchet Creek Road.	0.74
1.29	Intersection with FS118. Bear right on FS118.	0.6
1.89	Pass Helton Creek Falls on left. It’s pretty awesome. If you have time, check it out.	0.64
2.53	Intersection with FS118B. Stay straight on FS118.	0.92
3.45	FS118 becomes paved Helton Creek Road. Continue on Helton Creek Road.	0.74
4.18	Intersection with Hwy 129. Turn right and proceed northwest on Hwy 129.	1.51
5.69	Intersection with Hwy 180 (Wolfpen Gap Road). This intersection is easy to miss. Turn left on Hwy 180.	1.9
7.58	Intersection with FS107 and Coosa Backcountry Trail. Continue on Hwy 180.	1.45
9.04	Wolfpen Gap. Intersection with Duncan Ridge Road and FS39. Bear right and proceed west on FS39. Avoid intersecting roads and trails.	9.64
18.68	Intersection with FS4. Turn left and proceed southwest on FS4.	2.71
21.39	FS4 becomes paved Cooper Creek Road. Continue on Cooper Creek Road.	0.37
21.75	Intersection with FS264. Continue on Cooper Creek Road.	0.74
22.5	Cooper Creek Road becomes unpaved. Continue on unpaved Cooper Creek Road.	0.3
22.79	Cooper Creek Road becomes paved again. Continue on Cooper Creek Road.	1.98
24.77	Intersection with Hwy 60. Turn right and continue west on Hwy 60.	1.04
25.81	Intersection with Rock Creek Road. Turn left and proceed west on Rock Creek Road.	1.05
26.86	Rock Creek Road becomes unpaved FS69. Continue on FS69.	1.14
28	Intersection with FS333. Turn right and proceed across bridge on FS333.	0.1
28.1	Intersection with FS766. Continue west on FS333.	3.1
31.2	FS333 becomes Old Rock Creek Road. Continue ahead on Old Rock Creek Road.	0.57
31.77	Intersection with Doublehead Gap Road. Turn right and proceed north on Doublehead Gap Road.	0.28
32.05	Intersection with Silver Fox Trail. Turn left and proceed west on Silver Fox Trail.	0.52
32.57	Intersection with Dial Road. Bear left and proceed on Dial Road.	1.33
33.9	Dial Road becomes Old Dial Road. Continue ahead on Old Dial Road.	3.36
37.27	Intersection with Shallowford Bridge Road. Turn left and proceed on Shallowford Bridge Road.	1.25
38.51	Intersection with Shallow Ford Road. Bear left on Shallow Ford Road. Cross Bridge.	0.15
38.67	Intersection Aska Road. Finish TNGA 5.	0
		
TNGA 6		
at	cue	for
0	Start. Intersection of Shallow Ford Road and Aska Road. If you just crossed the bridge on Shallow Ford Road, turn right. Proceed southwest on Aska Road.	2.5
2.5	Intersection with Shady Falls Road. Turn right, proceed northeast on Shady Falls Road.	0.19
2.69	Intersection with driveway for Long Branch trailhead parking lot. Turn left and proceed north to Long Branch trailhead parking lot.	0.06
2.76	Beginning of Long Branch Trail. Proceed west on Long Branch Trail.	0.21
2.96	Long Branch Trail intersects itself from right. Continue straight on Long Branch Trail.	0.94
3.91	Intersection with Green Mountain Connector. Turn nearly 180 degrees left and proceed north on Green Mountain Connector.	0.36
4.27	Intersection with Green Mountain Trail. Turn left and proceed west on Green Mountain Trail.	0.19
4.46	3 way intersection. Stay left, proceed downhill on Lower Green Mountain Trail.	0.95
5.41	Intersection with Aska Road. Cross Aska Road, proceed into Aska Adventure Area parking lot.	0.03
5.44	Continue past kiosk on Flat Creek Trail.	0.08
5.52	Intersection with Stanley Gap Trail. Bear right onto Stanley Gap Trail. Proceed on Stanley Gap Trail.	0.26
5.79	Intersection with Flat Creek Connector to the left. Turn right and continue on Stanley Gap Trail.	1.42
7.2	Benton MacKaye Trail intersects from the right and joins Stanley Gap Trail. Turn left and continue on Stanley Gap Trail.	2.03
9.23	Benton MacKaye continues straight. Stanley Gap Trail continues to right. Turn right and proceed on Stanley Gap Trail.	0.61
9.84	Stanley Gap parking lot. Bear right to intersection with Rock Creek Road. Turn right and proceed west on Rock Creek Road.	2.99
12.83	Rock Creek Road becomes paved. Continue on paved Rock Creek Road.	2.22
15.06	Intersection with Cherry Log Street. Turn right and proceed north on Cherry Log Street.	0.31
15.37	Intersection with Goose Island Road. Bear left and proceed on Goose Island Road.	1.52
16.89	Pavement ends. Continue on unpaved Goose Island Road.	1.53
18.43	Intersection with paved Whitepath Road. Turn right and proceed north on Whitepath Road.	1.94
20.37	Intersection with Boardtown Road. Bear right and proceed north on Boardtown Road.	1.63
22	Intersection with Bushy Head Road. Turn left and proceed on Bushy Head Road.	1.03
23.03	Pavement ends. Continue on unpaved Bushy Head Gap Road.	0.62
23.65	Bushy Head Gap. Intersection with multiple roads and Benton MacKaye Trail. Bushy Head Gap Road turns to the right. Do not turn right. Proceed ahead, north, downhill on Bushy Head Ct.	0.88
24.52	Unpaved Bushy Head Ct. becomes paved Cashes Valley Road. Continue on paved Cashes Valley Road.	0.04
24.56	Intersection with unpaved Cashes Valley Road to the left. Bear right and continue on paved Cashes Valley Road.	2.46
27.02	Intersection with Old GA Hwy 2. Turn left and proceed west on Old GA Hwy 2.	5.63
32.65	Old GA Hwy 2 becomes unpaved FS64. Continue on FS64.	1.28
33.93	Watson Gap. FS22 intersects from right. FS126 ahead. FS64 continues to left. Turn left and continue on FS64.	3.31
37.24	Dyer Gap. Finish TNGA 6.	0
		
TNGA 7		
at	cue	for
0	Start. Proceed southwest on FS64.	0.66
0.66	Intersection with South Fork Trail. Turn right and proceed north on South Fork Trail.	1.99
2.65	Eastern Pinhoti Terminus. Benton MacKaye to the right. Continue to left/straight on South Fork Trail.	0.11
2.76	Wide, deep creek crossing.	0.19
2.95	Intersection. Pinhoti exits left. South Fork trail continues. Turn almost 180 degrees left and proceed southwest on Pinhoti Trail.	1.12
4.08	Pinhoti Singletrack ends, FS64B continues southwest. Proceed southwest on FS64B.	1.59
5.67	Buddy Cove Gap. Intersection with FS64. Mountaintown Creek Trail across road. Turn right and proceed west on FS64.	2.47
8.14	Three Forks Trail parking lot on right. Stay left on FS64.	4.13
12.27	Potatopatch Mountain. 3 way intersection. Turn left and proceed south/downhill on FS68.	1.32
13.59	Upper Bear Creek Parking Lot. Bear left through parking lot and proceed on Bear Creek Trail.	0.32
13.92	Intersection with Bear Creek Loop Trail. Stay left/straight, cross stream, proceed downhill on Bear Creek Loop Trail.	1.25
15.17	Intersection with Bear Creek Trail. Bear Creek Loop Trail continues to left. Stay straight, go around gate and proceed east on Bear Creek Trail.	1.73
16.9	Intersection with Pinhoti Trail. Turn right and proceed uphill on Pinhoti Trail.	3.66
20.56	Intersection with FS90 (unmarked at this intersection). Turn left and proceed south on FS90.	0.13
20.68	Intersection with FS90B. Turn right and proceed southwest on FS90B.	0.45
